Ресурсы                                                                                                                 | Сундуки         | Выход      | Дата               
----------------------------------------------------------------------------------------------------------------------- | --------------- | ---------- | -------------------
Камни o      +/- | Дерево _/`   +/- | Смола ≈      +/- | Медь :.      +/- | Ки @         +/- | Мощь *       +/- | Кр. ♦ | o   8   Ω   Δ   | Ур. Лок.   | День       Время   
15,669        =  | 23,638        =  | 299,606       +  | 26,903        =  | 3,197,421     +  |                  |       | 333 50  13  4   | 15* Пещеры | 19.08.2021 21:40:23
15,669        =  | 23,638        =  | 302,618       +  | 26,903        =  | 3,197,134     -  |                  |       | 327 40  30  3   | 15* Грибы  | 20.08.2021 09:06:59
15,669        =  | 23,638        =  | 297,298       -  | 26,903        =  | 3,210,574     +  |                  |       | 276 82  39  3   | 15* Пещеры | 21.08.2021 00:31:31
15,669        =  | 23,638        =  | 299,092       +  | 26,903        =  | 3,217,607     +  |                  |       | 327 47  21  5   | 15* Пещеры | 21.08.2021 18:51:41
15,669        =  | 23,638        =  | 301,404       +  | 26,903        =  | 3,217,817     +  |                  |       | 323 48  28  1   | 15* Грибы  | 22.08.2021 11:27:35
15,669        =  | 23,638        =  | 296,084       -  | 26,903        =  | 3,230,422     +  |                  |       | 257 94  48  1   | 15* Пещеры | 24.08.2021 19:37:19
15,669        =  | 23,638        =  | 297,836       +  | 26,903        =  | 3,231,763     +  |                  |       | 318 52  28  2   | 15* Пещеры | 25.08.2021 10:51:35
15,669        =  | 23,638        =  | 299,586       +  | 26,903        =  | 3,240,425     +  |                  |       | 324 45  29  2   | 15* Пещеры | 25.08.2021 20:57:57
15,669        =  | 23,638        =  | 301,766       +  | 26,903        =  | 3,240,491     +  |                  |       | 332 42  26  0   | 15* Грибы  | 26.08.2021 11:19:15
15,669        =  | 23,638        =  | 296,446       -  | 26,903        =  | 3,253,027     +  |                  |       | 276 81  35  8   | 15* Пещеры | 27.08.2021 09:47:29
15,669        =  | 23,638        =  | 299,041       +  | 26,903        =  | 3,260,610     +  |                  |       | 330 42  28  0   | 15* Пещеры | 27.08.2021 18:14:52
15,669        =  | 23,638        =  | 300,801       +  | 26,903        =  | 3,260,121     -  |                  |       | 341 38  21  0   | 15* Грибы  | 28.08.2021 11:49:39
15,669        =  | 23,638        =  | 295,481       -  | 26,903        =  | 3,274,508     +  |                  |       | 282 78  36  4   | 15* Пещеры | 29.08.2021 00:20:45
15,669        =  | 23,638        =  | 298,357       +  | 26,903        =  | 3,282,800     +  |                  |       | 322 44  32  2   | 15* Пещеры | 29.08.2021 21:58:01
15,669        =  | 23,638        =  | 300,251       +  | 26,903        =  | 3,283,765     +  |                  |       | 334 38  24  4   | 15* Грибы  | 30.08.2021 21:56:51
15,669        =  | 23,638        =  | 294,931       -  | 26,903        =  | 3,295,560     +  |                  |       | 274 76  46  4   | 15* Пещеры | 31.08.2021 10:23:40
15,669        =  | 23,638        =  | 297,309       +  | 26,903        =  | 3,303,875     +  |                  |       | 334 47  18  1   | 15* Пещеры | 31.08.2021 18:20:55
15,669        =  | 23,638        =  | 302,243       +  | 26,903        =  | 3,311,248     +  |                  |       | 337 43  17  3   | 15* Грибы  | 01.09.2021 17:17:57
15,669        =  | 23,638        =  | 296,923       -  | 26,903        =  | 3,324,403     +  |                  |       | 271 72  51  6   | 15* Пещеры | 02.09.2021 09:05:22
15,669        =  | 23,638        =  | 299,629       +  | 26,903        =  | 3,332,652     +  |                  |       | 338 50  12  0   | 15* Пещеры | 02.09.2021 16:49:06
15,669        =  | 23,638        =  | 303,376       +  | 26,903        =  | 3,337,272     +  |                  |       | 330 38  30  2   | 15* Грибы  | 03.09.2021 07:39:46
15,669        =  | 23,638        =  | 298,056       -  | 26,903        =  | 3,361,991     +  |                  |       | 259 87  52  2   | 15* Пещеры | 03.09.2021 20:08:22
15,669        =  | 23,638        =  | 300,176       +  | 26,903        =  | 3,361,166     -  |                  |       | 255 35  22  6   | 15* Грибы  | 04.09.2021 02:12:38
15,669        =  | 23,638        =  | 294,856       -  | 26,903        =  | 3,386,530     +  |                  |       | 273 82  41  4   | 15* Пещеры | 04.09.2021 21:47:06
15,669        =  | 23,638        =  | 300,540       +  | 26,903        =  | 3,396,118     +  |                  |       | 348 30  22  0   | 15* Грибы  | 05.09.2021 21:49:28
15,669        =  | 23,638        =  | 296,058       -  | 26,903        =  | 3,407,836     +  |                  |       | 235 54  40  8   | 15* Пещеры | 06.09.2021 08:19:49
15,669        =  | 23,638        =  | 298,710       +  | 26,903        =  | 3,414,861     +  |                  |       | 331 40  28  1   | 15* Пещеры | 06.09.2021 17:33:01
15,669        =  | 23,638        =  | 300,496       +  | 26,903        =  | 3,415,670     +  |                  |       | 326 40  28  6   | 15* Грибы  | 07.09.2021 09:14:35
15,669        =  | 23,638        =  | 295,176       -  | 26,903        =  | 3,441,882     +  |                  |       | 269 73  49  9   | 15* Пещеры | 07.09.2021 21:41:06
15,669        =  | 23,638        =  | 297,736       +  | 26,903        =  | 3,441,877     -  |                  |       | 327 50  23  0   | 15* Пещеры | 08.09.2021 09:18:48
15,669        =  | 23,638        =  | 300,002       +  | 26,903        =  | 3,449,446     +  |                  |       | 314 55  28  3   | 15* Грибы  | 08.09.2021 17:14:25
15,669        =  | 23,638        =  | 294,682       -  | 26,903        =  | 3,466,407     +  |                  |       | 263 83  46  8   | 15* Пещеры | 09.09.2021 09:03:10
15,669        =  | 23,638        =  | 297,644       +  | 26,903        =  | 3,474,792     +  |                  |       | 329 40  26  5   | 15* Пещеры | 09.09.2021 17:35:50
15,669        =  | 23,638        =  | 302,402       +  | 26,903        =  | 3,482,601     +  |                  |       | 317 53  27  3   | 15* Грибы  | 10.09.2021 16:59:56
15,669        =  | 23,638        =  | 297,082       -  | 26,903        =  | 3,497,010     +  |                  |       | 265 87  41  7   | 15* Пещеры | 11.09.2021 11:22:19
15,669        =  | 23,638        =  | 299,748       +  | 26,903        =  | 3,505,967     +  |                  |       | 329 48  21  2   | 15* Пещеры | 11.09.2021 21:52:20
15,669        =  | 23,638        =  | 302,658       +  | 26,919        +  | 3,491,104     -  |                  |       | 263 89  44  4   | 15* Грибы  | 13.09.2021 20:32:28
15,669        =  | 23,638        =  | 301,814       -  | 26,919        =  | 3,515,946     +  |                  |       | 329 42  27  2   | 15* Грибы  | 14.09.2021 16:37:34
15,670        +  | 23,638        =  | 301,661       -  | 26,919        =  | 3,535,113     +  |                  |       | 224 84  49  3   | 15* Грибы  | 15.09.2021 08:43:16
15,670        =  | 23,638        =  | 299,001       -  | 26,919        =  | 3,555,749     +  |                  |       | 0   0   0   0   | 15* Пещеры | 15.09.2021 19:41:39
15,670        =  | 23,638        =  | 298,920       -  | 26,919        =  | 3,559,321     +  |                  |       | 224 70  43  4   | 15* Пещеры | 16.09.2021 09:10:34
15,670        =  | 23,638        =  | 303,067       +  | 26,919        =  | 3,569,509     +  |                  |       | 150 21  14  1   | 15* Грибы  | 16.09.2021 20:00:23
15,670        =  | 23,638        =  | 302,436       -  | 26,919        =  | 3,566,415     -  |                  |       | 223 87  36  5   | 15* Грибы  | 17.09.2021 08:41:20
15,864        +  | 23,638        =  | 302,116       -  | 26,919        =  | 3,604,789     +  |                  |       | 253 89  55  3   | 15* Грибы  | 18.09.2021 15:55:12
15,864        =  | 23,638        =  | 302,220       +  | 26,919        =  | 3,605,082     +  |                  |       | 8   2   2   0   | 15* Залы   | 18.09.2021 16:22:26
16,132        +  | 23,935        +  | 302,040       +  | 26,924        +  | 3,587,253     +  |                  |       | 253 108 31  6   | 15* Залы   | 19.09.2021 13:56:24
16,132        =  | 23,935        =  | 302,040       =  | 26,924        =  | 3,587,253     =  |                  |       | 228 93  41  8   | 15* Залы   | 20.09.2021 08:59:24
16,384        +  | 24,418        +  | 301,960       -  | 26,875        -  | 3,627,888     +  |                  |       | 168 61  31  5   | 15* Залы   | 20.09.2021 19:44:26
16,410        +  | 24,418        =  | 301,960       =  | 26,875        =  | 3,632,237     +  |                  |       | 31  14  7   4   | 15* Залы   | 20.09.2021 22:02:56
16,551        +  | 24,418        =  | 301,960       =  | 26,875        =  | 3,645,798     +  |                  |       | 177 62  28  5   | 15* Залы   | 21.09.2021 09:09:31
16,623        +  | 24,418        =  | 301,960       =  | 26,875        =  | 3,657,618     +  |                  |       | 114 47  22  3   | 15* Залы   | 21.09.2021 16:47:05
16,689        +  | 24,418        =  | 301,960       =  | 26,875        =  | 3,666,917     +  |                  |       | 100 35  14  4   | 15* Залы   | 21.09.2021 23:02:20
16,690        +  | 24,418        =  | 301,960       =  | 26,875        =  | 3,667,306     +  |                  |       | 3   2   0   0   | 15* Залы   | 21.09.2021 23:15:24
16,700        +  | 24,418        =  | 301,960       =  | 26,875        =  | 3,661,070     -  |                  |       | 11  5   2   0   | 15* Залы   | 22.09.2021 00:09:49
16,806        +  | 24,418        =  | 301,960       =  | 26,875        =  | 3,677,364     +  |                  |       | 135 50  24  6   | 15* Залы   | 22.09.2021 08:57:09
16,957        +  | 24,466        +  | 302,004       +  | 26,875        =  | 3,700,732     +  |                  |       | 1   1   0   0   | 15* Залы   | 22.09.2021 23:29:34
17,050        +  | 24,466        =  | 302,004       =  | 26,875        =  | 3,709,873     +  |                  |       | 133 70  18  8   | 15* Залы   | 23.09.2021 08:52:07
