Ресурсы                                                                                                                 | Сундуки         | Выход      | Дата               
----------------------------------------------------------------------------------------------------------------------- | --------------- | ---------- | -------------------
Камни o      +/- | Дерево _/`   +/- | Смола ≈      +/- | Медь :.      +/- | Ки @         +/- | Мощь *       +/- | Кр. ♦ | o   8   Ω   Δ   | Ур. Лок.   | День       Время   
390,189       +  | 25,058        =  | 357,082       -  | 78,864        -  | 7,462,860     -  |                  |       | 19  255 110 9   | 12* Плато  | 04.01.2022 14:46:53
391,468       +  | 25,058        =  | 357,082       =  | 78,864        =  | 7,467,619     +  |                  |       | 10  114 57  5   | 12* Плато  | 04.01.2022 22:33:36
394,283       +  | 25,058        =  | 357,082       =  | 78,864        =  | 7,468,769     +  |                  |       | 7   200 93  7   | 12* Плато  | 05.01.2022 11:22:39
396,288       +  | 25,058        =  | 357,082       =  | 78,864        =  | 7,474,218     +  |                  |       | 6   149 56  10  | 12* Плато  | 05.01.2022 20:35:14
399,409       +  | 25,058        =  | 357,082       =  | 78,864        =  | 7,475,207     +  |                  |       | 14  236 99  8   | 12* Плато  | 06.01.2022 11:29:55
401,799       +  | 25,058        =  | 357,082       =  | 78,864        =  | 7,481,414     +  |                  |       | 9   152 66  9   | 12* Плато  | 06.01.2022 21:20:40
404,676       +  | 25,058        =  | 357,082       =  | 78,864        =  | 7,481,917     +  |                  |       | 17  205 91  10  | 12* Плато  | 07.01.2022 10:48:17
407,550       +  | 25,058        =  | 357,082       =  | 78,864        =  | 7,483,102     +  |                  |       | 10  266 114 10  | 12* Плато  | 08.01.2022 11:57:38
411,020       +  | 25,058        =  | 357,082       =  | 78,864        =  | 7,485,139     +  |                  |       | 18  241 123 18  | 12* Плато  | 09.01.2022 12:05:18
412,568       +  | 25,058        =  | 357,082       =  | 78,864        =  | 7,489,440     +  |                  |       | 5   117 56  9   | 12* Плато  | 09.01.2022 19:54:34
413,024       +  | 25,058        =  | 357,082       =  | 78,864        =  | 7,490,864     +  |                  |       | 5   40  11  1   | 12* Плато  | 09.01.2022 22:19:27
415,011       +  | 25,058        =  | 357,082       =  | 78,864        =  | 7,489,198     -  |                  |       | 11  136 77  15  | 12* Плато  | 10.01.2022 08:18:23
417,604       +  | 25,058        =  | 357,082       =  | 78,864        =  | 7,497,451     +  |                  |       | 13  207 99  8   | 12* Плато  | 10.01.2022 22:35:21
419,892       +  | 25,058        =  | 357,082       =  | 78,864        =  | 7,496,044     -  |                  |       | 10  146 71  8   | 12* Плато  | 11.01.2022 08:24:49
423,834       +  | 25,058        =  | 357,082       =  | 78,864        =  | 7,499,499     +  |                  |       | 13  259 118 10  | 12* Плато  | 12.01.2022 07:42:54
428,918       +  | 25,058        =  | 357,082       =  | 78,754        -  | 7,502,985     +  |                  |       | 17  202 83  15  | 12* Плато  | 13.01.2022 08:24:20
431,801       +  | 25,058        =  | 357,082       =  | 78,754        =  | 7,511,333     +  |                  |       | 9   208 98  15  | 12* Плато  | 13.01.2022 21:25:53
434,165       +  | 25,058        =  | 357,082       =  | 78,754        =  | 7,509,918     -  |                  |       | 15  175 74  12  | 12* Плато  | 14.01.2022 08:19:59
436,148       +  | 25,058        =  | 357,082       =  | 78,754        =  | 7,515,769     +  |                  |       | 5   159 61  5   | 12* Плато  | 14.01.2022 17:25:31
439,587       +  | 25,058        =  | 357,082       =  | 78,754        =  | 7,517,694     +  |                  |       | 7   275 104 14  | 12* Плато  | 15.01.2022 10:36:41
441,348       +  | 25,058        =  | 357,082       =  | 78,754        =  | 7,524,853     +  |                  |       | 9   170 66  7   | 12* Плато  | 15.01.2022 20:33:38
444,393       +  | 25,058        =  | 357,082       =  | 78,754        =  | 7,526,161     +  |                  |       | 20  222 117 20  | 12* Плато  | 16.01.2022 11:32:02
447,171       +  | 25,058        =  | 357,082       =  | 78,754        =  | 7,532,953     +  |                  |       | 14  174 87  9   | 12* Плато  | 16.01.2022 22:44:57
449,455       +  | 25,058        =  | 357,082       =  | 78,754        =  | 7,530,518     -  |                  |       | 5   150 71  13  | 12* Плато  | 17.01.2022 08:12:23
452,156       +  | 25,058        =  | 357,082       =  | 78,754        =  | 7,537,184     +  |                  |       | 10  173 84  13  | 12* Плато  | 17.01.2022 19:15:37
454,443       +  | 25,086        +  | 357,062       -  | 78,744        -  | 7,541,857     +  |                  |       | 17  202 85  11  | 12* Плато  | 18.01.2022 08:20:00
455,936       +  | 25,086        =  | 357,062       =  | 78,744        =  | 7,546,562     +  |                  |       | 5   131 66  7   | 12* Плато  | 18.01.2022 16:35:50
459,110       +  | 25,086        =  | 357,062       =  | 78,744        =  | 7,550,294     +  |                  |       | 23  241 118 18  | 12* Плато  | 19.01.2022 15:55:45
462,970       +  | 25,086        =  | 357,062       =  | 78,744        =  | 7,553,676     +  |                  |       | 15  259 109 17  | 12* Плато  | 20.01.2022 08:19:34
464,893       +  | 25,086        =  | 357,062       =  | 78,744        =  | 7,558,483     +  |                  |       | 7   136 63  5   | 12* Плато  | 20.01.2022 16:40:39
468,565       +  | 25,086        =  | 357,062       =  | 78,744        =  | 7,562,021     +  |                  |       | 17  262 98  19  | 12* Плато  | 21.01.2022 08:19:17
471,505       +  | 25,086        =  | 357,062       =  | 78,744        =  | 7,571,377     +  |                  |       | 10  235 108 14  | 12* Плато  | 21.01.2022 22:49:13
473,973       +  | 25,086        =  | 357,062       =  | 78,744        =  | 7,572,399     +  |                  |       | 19  196 97  8   | 12* Плато  | 22.01.2022 11:28:57
474,119       +  | 25,086        =  | 357,062       =  | 78,744        =  | 7,572,778     +  |                  |       | 9   4   4   0   | 12* Плато  | 22.01.2022 12:10:07
474,119       =  | 25,086        =  | 366,847       +  | 78,744        =  | 7,704,507     +  |                  |       | 1   1   0   0   | 12* Плато  | 22.01.2022 12:15:16
476,091       +  | 25,086        =  | 366,847       =  | 78,744        =  | 7,708,809     +  |                  |       | 8   126 62  5   | 12* Плато  | 22.01.2022 20:13:24
476,717       +  | 25,086        =  | 366,847       =  | 78,744        =  | 7,711,121     +  |                  |       | 3   58  21  7   | 12* Плато  | 22.01.2022 23:44:55
476,740       +  | 25,086        =  | 366,847       =  | 78,744        =  | 7,711,200     +  |                  |       | 3   0   0   0   | 12* Плато  | 22.01.2022 23:52:30
479,663       +  | 25,086        =  | 366,847       =  | 78,744        =  | 7,710,928     -  |                  |       | 11  197 97  15  | 12* Плато  | 23.01.2022 12:31:56
481,290       +  | 25,086        =  | 366,847       =  | 78,744        =  | 7,714,982     +  |                  |       | 6   116 55  6   | 12* Плато  | 23.01.2022 19:47:08
481,707       +  | 25,086        =  | 366,847       =  | 78,744        =  | 7,716,468     +  |                  |       | 1   41  14  5   | 12* Плато  | 23.01.2022 22:11:58
483,979       +  | 25,086        =  | 366,847       =  | 78,744        =  | 7,716,335     -  |                  |       | 13  182 58  10  | 12* Плато  | 24.01.2022 08:35:43
485,762       +  | 25,086        =  | 366,847       =  | 78,744        =  | 7,722,279     +  |                  |       | 11  135 66  7   | 12* Плато  | 24.01.2022 17:15:59
488,553       +  | 25,086        =  | 366,847       =  | 78,744        =  | 7,722,757     +  |                  |       | 20  242 108 10  | 12* Плато  | 25.01.2022 08:17:20
490,390       +  | 25,086        =  | 366,847       =  | 78,744        =  | 7,730,096     +  |                  |       | 5   182 70  8   | 12* Плато  | 25.01.2022 18:46:28
493,539       +  | 25,086        =  | 366,847       =  | 78,744        =  | 7,731,347     +  |                  |       | 14  205 93  14  | 12* Плато  | 26.01.2022 07:40:35
495,143       +  | 25,086        =  | 366,847       =  | 78,744        =  | 7,737,227     +  |                  |       | 13  132 53  7   | 12* Плато  | 26.01.2022 15:47:17
496,860       +  | 25,086        =  | 366,847       =  | 78,744        =  | 7,741,074     +  |                  |       | 7   114 55  4   | 12* Плато  | 26.01.2022 22:53:55
498,450       +  | 25,086        =  | 366,827       -  | 78,714        -  | 7,743,137     +  |                  |       | 9   141 80  3   | 12* Плато  | 27.01.2022 08:12:40
501,024       +  | 25,086        =  | 366,827       =  | 78,714        =  | 7,754,005     +  |                  |       | 10  264 107 8   | 12* Плато  | 27.01.2022 23:35:34
503,046       +  | 25,086        =  | 366,827       =  | 78,714        =  | 7,752,849     -  |                  |       | 5   141 63  10  | 12* Плато  | 28.01.2022 08:15:00
504,862       +  | 25,086        =  | 366,827       =  | 78,714        =  | 7,759,031     +  |                  |       | 11  141 55  9   | 12* Плато  | 28.01.2022 16:48:02
507,648       +  | 25,086        =  | 366,827       =  | 78,714        =  | 7,761,954     +  |                  |       | 17  255 113 15  | 12* Плато  | 29.01.2022 14:10:41
509,846       +  | 25,086        =  | 366,827       =  | 78,714        =  | 7,767,337     +  |                  |       | 7   150 65  10  | 12* Плато  | 29.01.2022 23:21:44
512,287       +  | 25,086        =  | 366,827       =  | 78,714        =  | 7,768,383     +  |                  |       | 14  184 89  12  | 12* Плато  | 30.01.2022 11:10:11
513,446       +  | 25,086        =  | 366,827       =  | 78,714        =  | 7,772,262     +  |                  |       | 5   89  50  9   | 12* Плато  | 30.01.2022 17:12:39
513,497       +  | 25,086        =  | 366,827       =  | 78,714        =  | 7,772,403     +  |                  |       | 0   3   3   0   | 12* Плато  | 30.01.2022 17:29:25
513,554       +  | 25,110        +  | 376,334       +  | 78,714        =  | 7,901,638     +  |                  |       | 2   0   0   0   | 12* Плато  | 30.01.2022 18:42:05
513,584       +  | 25,110        =  | 376,334       =  | 78,714        =  | 7,901,733     +  |                  |       | 0   3   1   0   | 12* Плато  | 30.01.2022 18:52:49
516,548       +  | 25,110        =  | 376,334       =  | 78,714        =  | 7,902,710     +  |                  |       | 19  214 97  11  | 12* Плато  | 31.01.2022 08:21:46
518,299       +  | 25,110        =  | 376,334       =  | 78,714        =  | 7,907,542     +  |                  |       | 13  130 61  9   | 12* Плато  | 31.01.2022 16:47:00
519,137       +  | 25,110        =  | 376,334       =  | 78,714        =  | 7,909,770     +  |                  |       | 5   69  14  2   | 12* Плато  | 31.01.2022 20:21:54
521,159       +  | 25,110        =  | 376,314       -  | 78,684        -  | 7,911,867     +  |                  |       | 12  186 90  10  | 12* Плато  | 01.02.2022 08:23:19
522,685       +  | 25,110        =  | 376,314       =  | 78,684        =  | 7,917,003     +  |                  |       | 7   139 75  9   | 12* Плато  | 01.02.2022 17:28:49
525,455       +  | 25,110        =  | 376,314       =  | 78,684        =  | 7,919,269     +  |                  |       | 14  228 103 15  | 12* Плато  | 02.02.2022 07:43:42
526,916       +  | 25,110        =  | 376,314       =  | 78,684        =  | 7,924,325     +  |                  |       | 5   129 64  6   | 12* Плато  | 02.02.2022 15:47:22
530,618       +  | 25,110        =  | 376,314       =  | 78,684        =  | 7,927,054     +  |                  |       | 16  247 126 11  | 12* Плато  | 03.02.2022 08:18:04
532,398       +  | 25,110        =  | 376,314       =  | 78,684        =  | 7,931,865     +  |                  |       | 10  127 64  11  | 12* Плато  | 03.02.2022 16:41:12
535,586       +  | 25,110        =  | 376,314       =  | 78,684        =  | 7,932,592     +  |                  |       | 13  240 124 17  | 12* Плато  | 04.02.2022 08:15:20
537,558       +  | 25,110        =  | 376,314       =  | 78,684        =  | 7,938,284     +  |                  |       | 8   135 63  6   | 12* Плато  | 04.02.2022 16:38:12
540,389       +  | 25,110        =  | 376,314       =  | 78,684        =  | 7,939,691     +  |                  |       | 12  246 127 15  | 12* Плато  | 05.02.2022 10:57:34
543,084       +  | 25,110        =  | 376,314       =  | 78,684        =  | 7,943,372     +  |                  |       | 13  238 134 15  | 12* Плато  | 06.02.2022 10:40:14
545,042       +  | 25,110        =  | 376,314       =  | 78,684        =  | 7,949,577     +  |                  |       | 10  146 80  3   | 12* Плато  | 06.02.2022 20:07:28
547,640       +  | 25,110        =  | 376,314       =  | 78,684        =  | 7,949,246     -  |                  |       | 8   197 86  15  | 12* Плато  | 07.02.2022 08:14:36
549,324       +  | 25,110        =  | 376,314       =  | 78,684        =  | 7,954,413     +  |                  |       | 11  132 67  8   | 12* Плато  | 07.02.2022 16:50:46
552,338       +  | 25,110        =  | 376,314       =  | 78,684        =  | 7,956,948     +  |                  |       | 14  237 125 14  | 12* Плато  | 08.02.2022 08:16:45
554,215       +  | 25,110        =  | 376,314       =  | 78,684        =  | 7,962,921     +  |                  |       | 5   133 62  12  | 12* Плато  | 08.02.2022 16:39:08
555,289       +  | 25,110        =  | 376,314       =  | 78,684        =  | 7,966,651     +  |                  |       | 3   98  43  6   | 12* Плато  | 08.02.2022 22:36:26
557,167       +  | 25,110        =  | 376,294       -  | 78,604        -  | 7,960,957     -  |                  |       | 7   137 81  9   | 12* Плато  | 09.02.2022 08:14:09
559,076       +  | 25,110        =  | 376,294       =  | 78,604        =  | 7,966,063     +  |                  |       | 7   134 72  8   | 12* Плато  | 09.02.2022 16:57:36
562,883       +  | 25,110        =  | 376,294       =  | 78,604        =  | 7,966,937     +  |                  |       | 14  262 101 11  | 12* Плато  | 10.02.2022 08:18:16
564,298       +  | 25,110        =  | 376,294       =  | 78,604        =  | 7,971,829     +  |                  |       | 7   136 64  7   | 12* Плато  | 10.02.2022 16:46:47
566,865       +  | 25,110        =  | 376,294       =  | 78,604        =  | 7,974,030     +  |                  |       | 23  213 126 16  | 12* Плато  | 11.02.2022 07:43:11
568,743       +  | 25,110        =  | 376,294       =  | 78,604        =  | 7,979,833     +  |                  |       | 6   127 73  14  | 12* Плато  | 11.02.2022 16:24:17
572,238       +  | 25,110        =  | 376,294       =  | 78,604        =  | 7,982,792     +  |                  |       | 12  267 103 18  | 12* Плато  | 12.02.2022 12:18:40
576,937       +  | 25,110        =  | 376,294       =  | 78,554        -  | 7,950,023     -  |                  |       | 13  208 90  11  | 12* Плато  | 13.02.2022 11:15:55
579,521       +  | 25,110        =  | 376,294       =  | 78,554        =  | 7,952,019     +  |                  |       | 7   259 120 14  | 12* Плато  | 14.02.2022 08:18:42
581,086       +  | 25,110        =  | 376,294       =  | 78,554        =  | 7,957,429     +  |                  |       | 8   141 56  7   | 12* Плато  | 14.02.2022 16:43:16
584,068       +  | 25,110        =  | 376,274       -  | 78,572        +  | 7,961,722     +  |                  |       | 9   172 91  20  | 12* Плато  | 15.02.2022 08:14:22
585,507       +  | 25,110        =  | 376,274       =  | 78,572        =  | 7,967,450     +  |                  |       | 19  145 56  10  | 12* Плато  | 15.02.2022 17:21:15
588,285       +  | 25,110        =  | 376,274       =  | 78,572        =  | 7,969,412     +  |                  |       | 13  237 103 9   | 12* Плато  | 16.02.2022 07:42:44
590,944       +  | 25,110        =  | 376,274       =  | 78,572        =  | 7,979,228     +  |                  |       | 10  248 96  10  | 12* Плато  | 16.02.2022 22:06:26
592,649       +  | 25,110        =  | 376,274       =  | 78,572        =  | 7,978,538     -  |                  |       | 8   164 78  5   | 12* Плато  | 17.02.2022 08:14:08
594,009       +  | 25,110        =  | 376,274       =  | 78,572        =  | 7,982,981     +  |                  |       | 7   129 60  13  | 12* Плато  | 17.02.2022 16:31:04
597,145       +  | 25,110        =  | 376,274       =  | 78,572        =  | 7,985,243     +  |                  |       | 18  235 117 15  | 12* Плато  | 18.02.2022 07:45:37
599,483       +  | 25,110        =  | 376,274       =  | 78,572        =  | 7,991,120     +  |                  |       | 13  154 75  10  | 12* Плато  | 18.02.2022 17:45:18
602,424       +  | 25,110        =  | 376,274       =  | 78,572        =  | 7,993,201     +  |                  |       | 10  264 109 17  | 12* Плато  | 19.02.2022 14:36:07
606,131       +  | 25,110        =  | 376,274       =  | 78,572        =  | 7,994,327     +  |                  |       | 20  263 101 16  | 12* Плато  | 20.02.2022 11:26:03
607,595       +  | 25,110        =  | 376,274       =  | 78,572        =  | 7,999,422     +  |                  |       | 3   124 73  4   | 12* Плато  | 20.02.2022 19:32:16
609,963       +  | 25,110        =  | 376,274       =  | 78,572        =  | 7,999,474     +  |                  |       | 21  213 102 10  | 12* Плато  | 21.02.2022 09:15:46
611,547       +  | 25,110        =  | 376,274       =  | 78,572        =  | 8,004,049     +  |                  |       | 4   133 51  11  | 12* Плато  | 21.02.2022 17:09:27
614,139       +  | 25,110        =  | 376,274       =  | 78,630        +  | 7,932,878     -  |                  |       | 12  205 88  9   | 12* Плато  | 22.02.2022 10:10:27
615,818       +  | 25,110        =  | 376,274       =  | 78,630        =  | 7,937,890     +  |                  |       | 5   130 51  8   | 12* Плато  | 22.02.2022 17:50:26
615,833       +  | 25,110        =  | 376,274       =  | 78,630        =  | 7,937,944     +  |                  |       | 0   2   0   0   | 12* Плато  | 22.02.2022 17:56:22
618,892       +  | 25,060        -  | 376,224       -  | 78,610        -  | 7,935,002     -  |                  |       | 17  221 112 10  | 12* Плато  | 23.02.2022 11:24:51
620,171       +  | 25,060        =  | 376,224       =  | 78,560        -  | 7,936,962     +  |                  |       | 1   39  7   2   | 12* Плато  | 23.02.2022 19:17:48
622,811       +  | 25,060        =  | 376,204       -  | 78,505        -  | 7,901,461     -  |                  |       | 17  195 98  13  | 12* Плато  | 24.02.2022 10:48:01
624,070       +  | 25,060        =  | 376,204       =  | 78,505        =  | 7,906,073     +  |                  |       | 5   117 64  8   | 12* Плато  | 24.02.2022 18:27:53
627,012       +  | 25,060        =  | 376,204       =  | 78,505        =  | 7,908,246     +  |                  |       | 18  267 110 5   | 12* Плато  | 25.02.2022 10:34:12
628,340       +  | 25,060        =  | 376,204       =  | 78,505        =  | 7,913,380     +  |                  |       | 4   117 50  10  | 12* Плато  | 25.02.2022 17:43:42
629,331       +  | 25,060        =  | 376,204       =  | 78,505        =  | 7,915,831     +  |                  |       | 8   60  42  3   | 12* Плато  | 25.02.2022 22:12:28
631,558       +  | 25,060        =  | 376,204       =  | 78,505        =  | 7,916,215     +  |                  |       | 16  185 81  21  | 12* Плато  | 26.02.2022 10:10:28
634,231       +  | 25,060        =  | 376,204       =  | 78,505        =  | 7,919,605     +  |                  |       | 12  280 96  12  | 12* Плато  | 27.02.2022 10:08:35
636,315       +  | 25,060        =  | 376,204       =  | 78,505        =  | 7,927,793     +  |                  |       | 10  214 89  7   | 12* Плато  | 27.02.2022 22:46:01
638,593       +  | 25,060        =  | 376,204       =  | 78,505        =  | 7,926,121     -  |                  |       | 13  154 61  10  | 12* Плато  | 28.02.2022 08:10:50
640,319       +  | 25,060        =  | 376,204       =  | 78,505        =  | 7,931,936     +  |                  |       | 8   150 75  8   | 12* Плато  | 28.02.2022 17:41:02
643,472       +  | 25,060        =  | 376,204       =  | 78,505        =  | 7,933,255     +  |                  |       | 10  226 113 20  | 12* Плато  | 01.03.2022 08:14:53
645,545       +  | 25,060        =  | 376,204       =  | 78,505        =  | 7,938,676     +  |                  |       | 6   153 62  8   | 12* Плато  | 01.03.2022 17:16:47
648,021       +  | 25,060        =  | 376,204       =  | 78,505        =  | 7,940,248     +  |                  |       | 23  232 107 18  | 12* Плато  | 02.03.2022 08:14:59
649,763       +  | 25,060        =  | 376,204       =  | 78,505        =  | 7,946,728     +  |                  |       | 7   135 74  11  | 12* Плато  | 02.03.2022 17:11:40
652,842       +  | 25,060        =  | 376,204       =  | 78,505        =  | 7,947,458     +  |                  |       | 10  275 86  12  | 12* Плато  | 03.03.2022 08:17:31
655,149       +  | 25,060        =  | 376,204       =  | 78,505        =  | 7,957,308     +  |                  |       | 7   223 100 13  | 12* Плато  | 03.03.2022 21:48:44
657,350       +  | 25,060        =  | 376,204       =  | 78,505        =  | 7,956,038     -  |                  |       | 8   158 70  14  | 12* Плато  | 04.03.2022 07:40:18
659,478       +  | 25,060        =  | 376,204       =  | 78,505        =  | 7,963,812     +  |                  |       | 9   189 83  4   | 12* Плато  | 04.03.2022 18:54:43
662,032       +  | 25,060        =  | 376,270       +  | 78,455        -  | 7,964,947     +  |                  |       | 12  192 113 16  | 12* Плато  | 05.03.2022 08:12:00
663,983       +  | 25,060        =  | 376,270       =  | 78,455        =  | 7,971,593     +  |                  |       | 7   162 78  6   | 12* Плато  | 05.03.2022 18:11:23
667,074       +  | 25,060        =  | 376,270       =  | 78,455        =  | 7,974,139     +  |                  |       | 14  255 119 12  | 12* Плато  | 06.03.2022 10:12:19
669,266       +  | 25,060        =  | 376,270       =  | 78,455        =  | 7,980,261     +  |                  |       | 18  163 81  9   | 12* Плато  | 06.03.2022 20:54:31
671,631       +  | 25,060        =  | 376,270       =  | 78,455        =  | 7,980,411     +  |                  |       | 12  212 110 13  | 12* Плато  | 07.03.2022 10:35:13
672,511       +  | 25,060        =  | 376,270       =  | 78,455        =  | 7,982,693     +  |                  |       | 3   64  27  3   | 12* Плато  | 07.03.2022 14:25:10
673,139       +  | 25,419        +  | 376,200       -  | 78,112        -  | 7,953,663     -  |                  |       | 4   75  42  1   | 12* Плато  | 07.03.2022 21:48:30
675,182       +  | 25,419        =  | 376,001       -  | 78,112        =  | 7,951,445     -  |                  |       | 0   105 81  3   | 15* Залы   | 08.03.2022 10:00:30
675,182       =  | 25,419        =  | 383,744       +  | 78,112        =  | 8,050,733     +  |                  |       | 261 87  48  4   | 15* Грибы  | 09.03.2022 11:05:33
675,182       =  | 25,419        =  | 383,744       =  | 78,112        =  | 8,060,880     +  |                  |       | 235 76  45  2   | 15* Грибы  | 09.03.2022 16:19:51
675,182       =  | 25,419        =  | 383,744       =  | 78,112        =  | 8,069,239     +  |                  |       | 214 58  30  2   | 15* Грибы  | 09.03.2022 20:47:25
675,182       =  | 25,419        =  | 383,744       =  | 78,112        =  | 8,073,125     +  |                  |       | 89  32  11  2   | 15* Грибы  | 09.03.2022 22:45:44
675,182       =  | 25,419        =  | 383,744       =  | 78,112        =  | 8,077,566     +  |                  |       | 277 77  42  4   | 15* Грибы  | 10.03.2022 10:10:16
675,182       =  | 25,419        =  | 383,744       =  | 78,112        =  | 8,089,572     +  |                  |       | 249 92  50  9   | 15* Грибы  | 10.03.2022 21:55:06
675,182       =  | 25,419        =  | 383,744       =  | 78,112        =  | 8,095,433     +  |                  |       | 270 84  45  1   | 15* Грибы  | 11.03.2022 11:17:19
675,182       =  | 25,419        =  | 383,744       =  | 78,112        =  | 8,098,962     +  |                  |       | 95  31  13  1   | 15* Грибы  | 11.03.2022 13:21:49
675,182       =  | 25,419        =  | 383,744       =  | 78,112        =  | 8,103,368     +  |                  |       | 98  30  17  5   | 15* Грибы  | 11.03.2022 15:34:01
675,182       =  | 25,419        =  | 383,744       =  | 78,112        =  | 8,107,971     +  |                  |       | 94  27  14  3   | 15* Грибы  | 11.03.2022 17:36:14
675,182       =  | 25,419        =  | 383,744       =  | 78,112        =  | 8,112,433     +  |                  |       | 276 78  40  6   | 15* Грибы  | 12.03.2022 01:01:28
675,182       =  | 25,419        =  | 383,744       =  | 78,112        =  | 8,122,741     +  |                  |       | 259 89  48  4   | 15* Грибы  | 12.03.2022 10:46:02
675,182       =  | 25,419        =  | 383,744       =  | 78,112        =  | 8,135,403     +  |                  |       | 254 86  52  8   | 15* Грибы  | 12.03.2022 21:46:01
675,182       =  | 25,419        =  | 383,744       =  | 78,112        =  | 8,140,418     +  |                  |       | 267 77  47  9   | 15* Грибы  | 13.03.2022 10:59:56
675,182       =  | 25,419        =  | 383,744       =  | 78,112        =  | 8,147,980     +  |                  |       | 163 56  38  5   | 15* Грибы  | 13.03.2022 14:51:06
675,182       =  | 25,419        =  | 383,744       =  | 78,112        =  | 8,154,659     +  |                  |       | 150 44  26  2   | 15* Грибы  | 13.03.2022 18:07:16
675,182       =  | 25,419        =  | 383,744       =  | 78,112        =  | 8,157,812     +  |                  |       | 57  22  16  1   | 15* Грибы  | 13.03.2022 19:33:07
675,182       =  | 25,419        =  | 383,744       =  | 78,112        =  | 8,161,970     +  |                  |       | 84  31  20  3   | 15* Грибы  | 13.03.2022 21:35:48
675,182       =  | 25,419        =  | 383,744       =  | 78,112        =  | 8,164,822     +  |                  |       | 267 76  50  7   | 15* Грибы  | 14.03.2022 08:11:58
675,182       =  | 25,419        =  | 383,744       =  | 78,112        =  | 8,177,458     +  |                  |       | 259 97  37  7   | 15* Грибы  | 14.03.2022 17:09:01
675,182       =  | 25,419        =  | 383,744       =  | 78,112        =  | 8,184,486     +  |                  |       | 137 35  32  4   | 15* Грибы  | 14.03.2022 20:12:43
675,142       -  | 25,419        =  | 383,664       -  | 78,072        -  | 8,192,291     +  |                  |       | 68  22  9   3   | 15* Грибы  | 14.03.2022 21:52:07
675,142       =  | 25,419        =  | 383,664       =  | 78,072        =  | 8,197,088     +  |                  |       | 247 87  59  7   | 15* Грибы  | 15.03.2022 08:14:51
675,142       =  | 25,419        =  | 383,664       =  | 78,072        =  | 8,207,994     +  |                  |       | 260 88  49  3   | 15* Грибы  | 15.03.2022 17:42:29
675,142       =  | 25,419        =  | 383,664       =  | 78,072        =  | 8,220,334     +  |                  |       | 235 86  43  4   | 15* Плато  | 15.03.2022 23:05:16
676,656       +  | 25,419        =  | 383,527       -  | 78,072        =  | 8,216,904     -  |                  |       | 0   87  53  5   | 15* Плато  | 16.03.2022 08:07:46
678,544       +  | 25,419        =  | 383,394       -  | 78,072        =  | 8,219,920     +  |                  |       | 0   76  58  7   | 15* Плато  | 16.03.2022 16:55:17
702,583       +  | 25,652        +  | 386,054       +  | 77,806        -  | 8,034,995     -  |                  |       | 0   55  35  4   | 15* Плато  | 24.03.2022 15:50:37
706,419       +  | 25,652        =  | 385,734       -  | 77,806        =  | 8,046,083     +  |                  |       | 0   215 168 17  | 15* Плато  | 25.03.2022 18:27:31
709,824       +  | 25,652        =  | 385,434       -  | 77,806        =  | 8,059,471     +  |                  |       | 0   202 149 24  | 15* Плато  | 26.03.2022 17:42:56
714,900       +  | 25,652        =  | 385,116       -  | 77,806        =  | 8,074,209     +  |                  |       | 0   195 186 17  | 15* Плато  | 27.03.2022 18:24:42
719,640       +  | 25,652        =  | 384,796       -  | 77,806        =  | 8,077,368     +  |                  |       | 0   214 169 17  | 15* Плато  | 28.03.2022 22:28:42
723,915       +  | 25,652        =  | 384,467       -  | 77,786        -  | 8,047,565     -  |                  |       | 0   196 145 21  | 15* Плато  | 29.03.2022 21:15:20
728,322       +  | 25,652        =  | 384,147       -  | 77,786        =  | 8,048,851     +  |                  |       | 0   213 168 19  | 15* Плато  | 30.03.2022 22:07:15
732,914       +  | 25,652        =  | 383,834       -  | 77,676        -  | 7,963,330     -  |                  |       | 0   202 150 14  | 15* Плато  | 31.03.2022 22:35:38
736,359       +  | 25,652        =  | 383,530       -  | 77,676        =  | 7,964,921     +  |                  |       | 0   197 166 18  | 15* Плато  | 01.04.2022 22:12:53
739,617       +  | 25,652        =  | 383,264       -  | 77,676        =  | 7,966,267     +  |                  |       | 0   192 133 8   | 15* Плато  | 02.04.2022 18:51:11
740,139       +  | 25,652        =  | 383,223       -  | 77,676        =  | 7,967,442     +  |                  |       | 0   32  17  3   | 15* Плато  | 02.04.2022 22:06:20
742,732       +  | 25,652        =  | 383,059       -  | 77,676        =  | 7,934,016     -  |                  |       | 0   105 90  11  | 15* Плато  | 03.04.2022 12:32:11
745,981       +  | 25,654        +  | 383,100       +  | 77,147        -  | 7,662,004     -  |                  |       | 0   212 168 20  | 15* Плато  | 04.04.2022 17:12:34
746,935       +  | 25,654        =  | 383,100       =  | 77,147        =  | 7,664,330     +  |                  |       | 0   51  35  4   | 15* Плато  | 04.04.2022 21:48:38
750,506       +  | 25,654        =  | 383,100       =  | 77,127        -  | 7,668,453     +  |                  |       | 0   197 145 12  | 15* Плато  | 05.04.2022 16:40:48
751,556       +  | 25,654        =  | 383,100       =  | 77,127        =  | 7,670,774     +  |                  |       | 0   55  45  7   | 15* Плато  | 05.04.2022 22:06:51
754,631       +  | 25,654        =  | 383,100       =  | 77,127        =  | 7,673,441     +  |                  |       | 0   205 163 17  | 15* Плато  | 06.04.2022 17:37:22
758,126       +  | 25,654        =  | 383,100       =  | 77,127        =  | 7,674,446     +  |                  |       | 0   229 159 12  | 15* Плато  | 07.04.2022 23:21:08
